DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1398S1;P1398S2;P1398S3;P1398S4;P1398S5;P1398S6;P1398S8;P1398S9;P1398S10;P1398S12;P1398S13;P1398S20;P1398S22;P1590S1;P1590S2;P1590S3;P1590S4;P1590S5;P520S1;P520S2;P520S3;P520S4;P520S8;P520S9;P520S5;P520S10;P520S6;P3103
647832;236;1;1;1;120.93755672;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3
647833;236;1;1;1;92.34838284;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647834;236;1;1;1;90.131600564;1;1;2;1;1;2;1;1;1;1;;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;5
647835;236;1;1;1;106.48038934;2;2;2;2;2;2;2;2;1;1;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4
647836;236;1;1;1;113.47991141;1;1;1;1;2;1;1;2;1;1;;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647837;236;1;1;1;89.029737957;1;1;2;2;2;2;1;1;2;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647838;236;1;1;1;91.046161553;2;2;2;2;2;2;2;2;1;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647839;236;1;1;1;125.26188062;1;1;2;1;1;2;1;1;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647841;236;1;1;1;115.8876024;1;1;1;1;1;2;1;1;1;1;;1;2;1;1;2;2;2;2;2;2;2;2;1;2;2;2;7
647842;236;1;1;1;92.585812947;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647843;236;1;1;1;71.928590122;2;2;2;2;2;2;1;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647844;236;1;1;1;67.333774943;1;2;2;2;2;2;1;1;1;1;;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;2;4
647846;236;1;1;1;75.853703392;2;2;2;2;2;2;2;2;2;1;;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;
647847;236;1;1;1;51.920100344;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647848;236;1;1;1;62.833958298;1;2;2;2;1;2;1;1;1;2;;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;
647849;236;1;1;1;61.322842181;1;2;2;1;2;2;1;1;1;1;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;
647851;236;1;1;1;98.823245234;2;2;2;2;2;2;2;2;2;2;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647852;236;1;1;1;66.800555341;2;2;2;2;2;2;1;1;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647854;236;1;1;1;96.241149147;1;1;1;1;1;1;1;1;1;1;;1;2;1;1;1;2;2;1;2;1;2;2;2;2;1;2;9
647855;236;1;1;1;84.27253915;2;2;2;2;2;2;2;2;1;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647857;236;1;1;1;87.92787535;2;2;2;2;2;2;2;2;1;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647858;236;1;1;1;120.23383072;2;2;2;2;2;2;2;1;1;1;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;6
647859;236;1;1;1;82.295711954;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647860;236;1;1;1;106.7726295;2;2;1;2;1;2;1;1;1;1;;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;
647861;236;1;1;1;120.76583142;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647863;236;1;1;1;120.79177412;1;2;2;2;2;2;2;2;2;2;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5
647864;236;1;1;1;115.89955442;1;2;2;2;2;1;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647865;236;1;1;1;100.75352399;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647867;236;1;1;1;125.26188062;2;2;2;2;2;2;1;2;1;1;;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;3
647868;236;1;1;1;101.57621763;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647870;236;1;1;1;105.26567898;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647871;236;1;1;1;87.92787535;1;1;1;1;2;2;1;1;1;1;;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1
647872;236;1;1;1;104.30959898;1;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
647873;236;1;1;1;112.3780488;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4
647874;236;1;1;1;101.14532087;2;2;2;2;2;2;2;2;1;2;;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3
647876;236;1;1;1;112.3780488;2;2;2;2;2;2;2;2;1;1;;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4
647877;236;1;1;1;84.27253915;2;2;2;2;2;2;2;2;1;1;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5
647879;236;1;1;1;109.01310016;1;2;1;1;1;1;1;1;1;1;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;4
647880;236;1;1;1;112.18508399;1;2;2;1;2;2;1;2;1;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
647881;236;1;1;1;105.41146158;1;2;2;2;1;2;1;2;1;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;
647882;236;1;1;1;105.41146158;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;
